"ADE.22100.INTANK:VOLUME","","1 01 33","(VR TANK# 1      )","65248.52","L"," -N-       NONE"
" ****************************************************************************************************"
"ADE.22100.INTANK:ULLAGE","","1 01 35","(VR TANK# 1      )","25601.07","L"," -N-       NONE"
" ****************************************************************************************************"
"ADE.22200.INTANK:VOLUME","","1 02 33","(VR TANK# 2      )","40762.41","L"," -N-       NONE"
" ****************************************************************************************************"
"ADE.22200.INTANK:ULLAGE","","1 02 35","(VR TANK# 2      )","11301.97","L"," -N-       NONE"
" ****************************************************************************************************"
"ADE.22300.INTANK:VOLUME","","1 03 33","(                )","1695.68","L"," -N-       NONE"
" ****************************************************************************************************"
"ADE.22300.INTANK:ULLAGE","","1 03 35","(                )","218.32","L"," -N-       NONE"
" ****************************************************************************************************"
"ADE.22301.INTANK:VOLUME","","1 03 33","(VR TANK# 3      )","40819.73","L"," -N-       NONE"
" ****************************************************************************************************"
"ADE.22301.INTANK:ULLAGE","","1 03 35","(VR TANK# 3      )","11244.66","L"," -N-       NONE"
" ****************************************************************************************************"
"ADE.22400.INTANK:VOLUME","","1 04 33","(                )","1941.71","L"," -N-       NONE"
" ****************************************************************************************************"
"ADE.22400.INTANK:ULLAGE","","1 04 35","(                )","278.29","L"," -N-       NONE"
" ****************************************************************************************************"
"BAR.22100.INTANK:VOLUME","","004 1 01 33","(VR INTEGRATION  )","9443.58","L"," -N-       NONE"
" ****************************************************************************************************"
"BAR.22100.INTANK:ULLAGE","","004 1 01 35","(VR INTEGRATION  )","5556.43","L"," -N-       NONE"
" ****************************************************************************************************"
"BRA.22100.INTANK:VOLUME","","007 1 01 33","(                )","6472.35","L"," *F*       NONE"
" ****************************************************************************************************"
"BRA.22100.INTANK:ULLAGE","","007 1 01 35","(                )","11327.65","L"," *F*       NONE"
" ****************************************************************************************************"
"BRF.VR100.INTANK:VOLUME","","002 1 01 33","(VR APPLICATION  )","8402.70","L"," -N-       NONE"
" ****************************************************************************************************"
"BRF.VR100.INTANK:ULLAGE","","002 1 01 35","(VR APPLICATION  )","1597.30","L"," -N-       NONE"
" ****************************************************************************************************"
"BUR.22100.INTANK:VOLUME","","003 1 01 33","(VR APPLICATION  )","2013.62","L"," -N-       NONE"
" ****************************************************************************************************"
"BUR.22100.INTANK:ULLAGE","","003 1 01 35","(VR APPLICATION  )","986.38","L"," -N-       NONE"
" ****************************************************************************************************"
"COK.VR100.INTANK:VOLUME","","004 1 01 33","(VR APPLICATION  )","8354.12","L"," -N-       NONE"
" ****************************************************************************************************"
"COK.VR100.INTANK:ULLAGE","","004 1 01 35","(VR APPLICATION  )","1648.51","L"," -N-       NONE"
" ****************************************************************************************************"
"COL.22100.INTANK:VOLUME","","002 1 01 33","(VR APPLICATION  )","1332.32","L"," *F*       NONE"
" ****************************************************************************************************"
"COL.22100.INTANK:ULLAGE","","002 1 01 35","(VR APPLICATION  )","3740.68","L"," *F*       NONE"
" ****************************************************************************************************"
"DML.22100.INTANK:VOLUME","","001 1 01 33","(                )","13001.48","GAL"," -N-       NONE"
" ****************************************************************************************************"
"DML.22100.INTANK:ULLAGE","","001 1 01 35","(                )","1998.53","GAL"," -N-       NONE"
" ****************************************************************************************************"
"DON.22100.INTANK:VOLUME","","003 1 01 33","(                )","9825.86","GAL"," -N-       NONE"
" ****************************************************************************************************"
"DON.22100.INTANK:ULLAGE","","003 1 01 35","(                )","5573.14","GAL"," -N-       NONE"
" ****************************************************************************************************"
"FIN.22100.INTANK:VOLUME","","004 1 01 33","(VR APPLICATION  )","13653.06","L"," -N-       NONE"
" ****************************************************************************************************"
"FIN.22100.INTANK:ULLAGE","","004 1 01 35","(VR APPLICATION  )","6870.51","L"," -N-       NONE"
" ****************************************************************************************************"
"FOR.VR100.INTANK:VOLUME","","003 1 01 33","(                )","3051.81","L"," -N-       NONE"
" ****************************************************************************************************"
"FOR.VR100.INTANK:ULLAGE","","003 1 01 35","(                )","1199.20","L"," -N-       NONE"
" ****************************************************************************************************"
"ION.22100.INTANK:VOLUME","","002 1 01 33","(VR APPLICATION  )","8107.47","L"," -N-       NONE"
" ****************************************************************************************************"
"ION.22100.INTANK:ULLAGE","","002 1 01 35","(VR APPLICATION  )","1892.53","L"," -N-       NONE"
" ****************************************************************************************************"
"KSC.VR100.INTANK:VOLUME","","005 1 01 33","(                )","5677.50","GAL"," -N-       NONE"
" ****************************************************************************************************"
"KSC.VR100.INTANK:ULLAGE","","005 1 01 35","(                )","4322.50","GAL"," -N-       NONE"
" ****************************************************************************************************"
"LAU.VR100.INTANK:VOLUME","","002 1 01 33","(VR APPLICATION  )","1423.16","L"," -N-       NONE"
" ****************************************************************************************************"
"LAU.VR100.INTANK:ULLAGE","","002 1 01 35","(VR APPLICATION  )","396.84","L"," -N-       NONE"
" ****************************************************************************************************"
"MAI.22100.INTANK:VOLUME","","002 1 01 33","(VR APPLICATION  )","12982.55","L"," -N-       NONE"
" ****************************************************************************************************"
"MAI.22100.INTANK:ULLAGE","","002 1 01 35","(VR APPLICATION  )","2356.45","L"," -N-       NONE"
" ****************************************************************************************************"
"MAY.NODE10.INTANK1:VOLUME","","010 1 01 33","(                )","6816.79","L"," -N-       NONE"
" ****************************************************************************************************"
"MAY.NODE10.INTANK1:ULLAGE","","010 1 01 35","(                )","2583.22","L"," -N-       NONE"
" ****************************************************************************************************"
"MAY.NODE10.INTANK2:VOLUME","","010 1 02 33","(                )","5639.65","L"," -N-       NONE"
" ****************************************************************************************************"
